asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
光復自強外役監獄,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,Y,光復平原土石流鋪面覆蓋
Foxu_Debris_Zone,critical_infra,Guangfu Township,MED,N/A,N,N,Y,佛祖街沉積區——NCDR 標註最大沉積深度區
富民社區活動中心,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,Y,N,距崩塌源區 < 100 m（需邊坡評估）
月眉活動中心,W3-shelter,花蓮縣壽豐鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
志學活動中心,W3-shelter,花蓮縣壽豐鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
南昌活動中心,W3-shelter,花蓮縣吉安鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
中正國小,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
花蓮城隍廟香客大樓,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
五穀宮,W3-shelter,花蓮縣吉安鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
忠孝國小,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
主權社區活動中心,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
國風國中,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
國立花蓮農業職業學校,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
花蓮高商,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
永安活動中心,W3-shelter,花蓮縣吉安鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鑄強國小,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
"慈濟大學附設國民中學,小學",W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
美崙國中,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
私立四維高級中學,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
大陳二村活動中心,W3-shelter,花蓮縣花蓮市,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
新城鄉立圖書館,W3-shelter,花蓮縣新城鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
新城鄉原住民文化館,W3-shelter,花蓮縣新城鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
康樂社區活動中心,W3-shelter,花蓮縣新城鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
佳民國小收容所,W3-shelter,花蓮縣秀林鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
北三棧社區活動中心,W3-shelter,花蓮縣新城鄉,medium,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
新興竹田聯合社區活動中心,W3-shelter,花蓮縣富里鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
萬寧社區活動中心,W3-shelter,花蓮縣富里鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
東里社區活動中心,W3-shelter,花蓮縣富里鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
玉里慈惠堂,W3-shelter,花蓮縣玉里鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
中正堂,W3-shelter,花蓮縣玉里鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
花蓮縣立瑞穗國民中學,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
瑞穗社區活動中心,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
富源社區活動中心,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
富源消防分隊,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
富興社區活動中心,W3-shelter,花蓮縣瑞穗鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
大富國小,W3-shelter,花蓮縣光復鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
馬佛活動中心,W3-shelter,花蓮縣光復鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
長橋社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鳳信社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
樂活會館,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鳳林鎮藝文中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鳳林國中進德堂,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鳳林鎮公所,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
"鳳禮,鳳智里活動中心",W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鳳仁社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
鳳仁國小羽球館,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
大榮2村社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
大榮1村社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
北林3村社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
南平社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
見晴國民小學,W3-shelter,花蓮縣萬榮鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
林榮社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
豐坪活動中心,W3-shelter,花蓮縣壽豐鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
豐山國小,W3-shelter,花蓮縣壽豐鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
豐山活動中心,W3-shelter,花蓮縣壽豐鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
光華活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
干城活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
仁安活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
南華活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
稻香活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
永興活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
仁和活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
福興活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
吉安國小,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
吉安活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
北昌活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
太昌活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
明廉國小,W3-shelter,花蓮縣花蓮市,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
自強國中,W3-shelter,花蓮縣花蓮市,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
大漢社區活動中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
復興南營區,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
順安農宅示範中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
禪光育幼院,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
天主教聲遠之家,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
新城社區活動中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
興田社區活動中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
和平國小,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
豐南社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
玉寶宮,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
永豐社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
富里老人文康中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
石平社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
富里鄉公所2樓,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
石牌社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
明里社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
羅山縱管處,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
古風國小,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
崙天社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
長良社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
清水社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
吳江社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
卓樂社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
樂合社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
源城社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
東豐社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
卓溪多功能活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
大禹社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
觀音社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
太平國小,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
太平社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
松浦社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,花蓮縣避難所——位於事件影響區外
